SP,EN,Tag,Count
Hola,Hello,ch01;greetings,0
Buenos días,Good morning,ch01;greetings,0
Buenas tardes,Good afternoon,ch01;greetings,0
Buenos Noches,Goodnight,ch01;greetings,0
Adiós,Bye,ch01;greetings,0
Hasta luego,See you later,ch01;greetings,0
¿Cómo estás (tú)?,How are you? (familiar),ch01;greetings,0
¿Cómo está usted?,How are you? (formal),ch01;greetings,0
¿Qué tal?,How are things?,ch01;greetings,0
Bien,Well,ch01;greetings,1
Muy bien,Very well,ch01;greetings,0
Mal,Badly,ch01;greetings,0
Muy mal,Very badly,ch01;greetings,0
Regular,Okay,ch01;greetings,0
Más o menos,More or less fine,ch01;greetings,0
Gracias,Thank you,ch01;greetings,0
Por favor,Please,ch01;greetings,0
Muy amable,Very kind,ch01;greetings,0
¿Cómo to llama?,What is your name? (familiar),ch01;introductions,0
¿Cómo se llama?,What is your name? (formal),ch01;introductions,0
Me llama,My name is,ch01;introductions,0
El nombre,The name,ch01;introductions,0
¿Y tú?,And you? (familiar),ch01;introductions,0
¿Y usted?,And you? (formal),ch01;introductions,0
Te presento a ,Let me introduce you to,ch01;introductions,0
Mucho gusto!,It's a pleasure,ch01;introductions,0
El gusto es mío!,The pleasure is mine!,ch01;introductions,0
Encantad@!,Delighted!,ch01;introductions,0
Igualmente!,Likewise!,ch01;introductions,0
Señor,Sir,ch01;introductions,0
Señora,Mrs.,ch01;introductions,0
Señorita,Miss,ch01;introductions,0
El día,The day,ch01;dates;object,0
La semana,The week,ch01;dates;object,0
El mes,the month,ch01;dates,0
El año,The year,ch01;dates,0
En,In,ch01;dates,0
Próxim@,Next,ch01;dates,0
La mañana,The morning,ch01;dates,0
La tarde,The afternoon,ch01;dates,0
La noche,The night,ch01;dates,0
Hoy,Today,ch01;dates,0
Mañana,Tomorrow,ch01;dates,0
El lunes,Monday,ch01;dates,0
El martes,Tuesday,ch01;dates,0
El miércoles,Wednesday,ch01;dates,0
El jueves,Thursday,ch01;dates,0
El vieres,Friday,ch01;dates,0
El sábado,Saturday,ch01;dates,0
El domingo,Sunday,ch01;dates,0
Enero,January,ch01;dates,0
Febrero,February,ch01;dates,0
Marzo,March,ch01;dates,0
Abril,April,ch01;dates,0
Mayo,May,ch01;dates,0
Junio,June,ch01;dates,1
Julio,July,ch01;dates,0
Agosto,August,ch01;dates,0
Septiembre,September,ch01;dates,0
Octubre,October,ch01;dates,0
Noviembre,November,ch01;dates,0
Diciembre,December,ch01;dates,0
Cero,Zero,ch01;numbers,0
Uno,One,ch01;numbers,0
Dos,Two,ch01;numbers,0
Tres,Three,ch01;numbers,0
Cuatro,Foud,ch01;numbers,0
Cinco,Five,ch01;numbers,0
Seis,Six,ch01;numbers,0
Siete,Seven,ch01;numbers,0
Ocho,Eight,ch01;numbers,0
Nueve,Nine,ch01;numbers,0
Diez,Ten,ch01;numbers,0
Once,Eleven,ch01;numbers,0
Doce,Twelve,ch01;numbers,0
Trece,Thirteen,ch01;numbers,0
Catorce,Fourteen,ch01;numbers,0
Quince,Fifteen,ch01;numbers,0
Dieciséis,Sixteen,ch01;numbers,0
Diecisiete,Seventeen,ch01;numbers,0
