"SP","EN","Tag","Count","History"
"Hola","Hello","ch01;greetings",0,NA
"Buenos días","Good morning","ch01;greetings",1,NA
"Buenas tardes","Good afternoon","ch01;greetings",1,NA
"Buenos Noches","Goodnight","ch01;greetings",0,NA
"Adiós","Bye","ch01;greetings",1,NA
"Hasta luego","See you later","ch01;greetings",0,NA
"¿Cómo estás (tú)?","How are you? (familiar)","ch01;greetings",1,NA
"¿Cómo está usted?","How are you? (formal)","ch01;greetings",0,NA
"¿Qué tal?","How are things?","ch01;greetings",0,NA
"Bien","Well","ch01;greetings",1,NA
"Muy bien","Very well","ch01;greetings",0,NA
"Mal","Badly","ch01;greetings",0,NA
"Muy mal","Very badly","ch01;greetings",3,NA
"Regular","Okay","ch01;greetings",0,NA
"Más o menos","More or less fine","ch01;greetings",2,NA
"Gracias","Thank you","ch01;greetings",0,NA
"Por favor","Please","ch01;greetings",0,NA
"Muy amable","Very kind","ch01;greetings",2,NA
"¿Cómo to llama?","What is your name? (familiar)","ch01;introductions",0,NA
"¿Cómo se llama?","What is your name? (formal)","ch01;introductions",1,NA
"Me llama","My name is","ch01;introductions",2,NA
"El nombre","The name","ch01;introductions",0,NA
"¿Y tú?","And you? (familiar)","ch01;introductions",1,NA
"¿Y usted?","And you? (formal)","ch01;introductions",0,NA
"Te presento a ","Let me introduce you to","ch01;introductions",1,NA
"Mucho gusto!","It's a pleasure","ch01;introductions",0,NA
"El gusto es mío!","The pleasure is mine!","ch01;introductions",0,NA
"Encantad@!","Delighted!","ch01;introductions",1,NA
"Igualmente!","Likewise!","ch01;introductions",2,NA
"Señor","Sir","ch01;introductions",0,NA
"Señora","Mrs.","ch01;introductions",0,NA
"Señorita","Miss","ch01;introductions",0,NA
"El día","The day","ch01;dates;object",1,NA
"La semana","The week","ch01;dates;object",2,NA
"El mes","the month","ch01;dates",3,NA
"El año","The year","ch01;dates",0,NA
"En","In","ch01;dates",1,NA
"Próxim@","Next","ch01;dates",2,NA
"La mañana","The morning","ch01;dates",1,NA
"La tarde","The afternoon","ch01;dates",0,NA
"La noche","The night","ch01;dates",0,NA
"Hoy","Today","ch01;dates",1,NA
"Mañana","Tomorrow","ch01;dates",2,NA
"El lunes","Monday","ch01;dates",1,NA
"El martes","Tuesday","ch01;dates",1,NA
"El miércoles","Wednesday","ch01;dates",1,NA
"El jueves","Thursday","ch01;dates",2,NA
"El vieres","Friday","ch01;dates",0,NA
"El sábado","Saturday","ch01;dates",2,NA
"El domingo","Sunday","ch01;dates",0,NA
"Enero","January","ch01;dates",0,NA
"Febrero","February","ch01;dates",0,NA
"Marzo","March","ch01;dates",0,NA
"Abril","April","ch01;dates",0,NA
"Mayo","May","ch01;dates",0,NA
"Junio","June","ch01;dates",1,NA
"Julio","July","ch01;dates",1,NA
"Agosto","August","ch01;dates",1,NA
"Septiembre","September","ch01;dates",1,NA
"Octubre","October","ch01;dates",1,NA
"Noviembre","November","ch01;dates",0,NA
"Diciembre","December","ch01;dates",1,NA
"Cero","Zero","ch01;numbers",3,NA
"Uno","One","ch01;numbers",2,NA
"Dos","Two","ch01;numbers",0,NA
"Tres","Three","ch01;numbers",0,NA
"Cuatro","Four","ch01;numbers",1,NA
"Cinco","Five","ch01;numbers",0,NA
"Seis","Six","ch01;numbers",1,NA
"Siete","Seven","ch01;numbers",1,NA
"Ocho","Eight","ch01;numbers",1,NA
"Nueve","Nine","ch01;numbers",1,NA
"Diez","Ten","ch01;numbers",0,NA
"Once","Eleven","ch01;numbers",2,NA
"Doce","Twelve","ch01;numbers",1,NA
"Trece","Thirteen","ch01;numbers",1,NA
"Catorce","Fourteen","ch01;numbers",0,NA
"Quince","Fifteen","ch01;numbers",2,NA
"Dieciséis","Sixteen","ch01;numbers",0,NA
"Diecisiete","Seventeen","ch01;numbers",1,NA
"Dieciocho","Eighteen","ch01;numbers",1,NA
"Diecinueve","Nineteen","ch01;numbers",2,NA
"Veinte","Twenty","ch01;numbers",0,NA
"Veintiuno","Twenty-one","ch01;numbers",1,NA
"Veintidós","Twenty-two","ch01;numbers",1,NA
"Veintitrés","Trenty-three","ch01;numbers",0,NA
"Veinticuartro","Twenty-four","ch01;numbers",1,NA
"Veinticinco","Twenty-five","ch01;numbers",2,NA
"Veintiséis","Twenty-six","ch01;numbers",0,NA
"Veintisiete","Twenty-seven","ch01;numbers",2,NA
